symbol,name,marketCap,sector,industry,country
A,Agilent Technologies Inc. Common Stock,46608478143.0,Industrials,Biotechnology: Laboratory Analytical Instruments,United States
AA,Alcoa Corporation Common Stock ,11617293769.0,Industrials,Aluminum,United States
AADX,Applied Aerospace & Defense Inc. Common Stock,2187673743.0,Industrials,Military/Government/Technical,
AAL,American Airlines Group Inc. Common Stock,8837298846.0,Consumer Discretionary,Air Freight/Delivery Services,United States
AAMI,Acadian Asset Management Inc. Common Stock,3247701613.0,Finance,Investment Managers,United Kingdom
AAOI,Applied Optoelectronics Inc. Common Stock,8580629566.0,Technology,Semiconductors,United States
AAON,AAON Inc. Common Stock,6790881708.0,Industrials,Industrial Machinery/Components,United States
AAP,Advance Auto Parts Inc.,2482440000.0,Consumer Discretionary,Auto & Home Supply Stores,United States
AAPL,Apple Inc. Common Stock,4918530543600.0,Technology,Computer Manufacturing,United States
AAUC,Allied Gold Corporation Common Shares,3118605845.0,,,
ABBV,AbbVie Inc. Common Stock,468427449908.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
ABCB,Ameris Bancorp Common Stock,5477963920.0,Finance,Major Banks,United States
ABCL,AbCellera Biologics Inc. Common Shares,3987277062.0,Health Care,Biotechnology: Pharmaceutical Preparations,Canada
ABG,Asbury Automotive Group Inc Common Stock,3258631974.0,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,United States
ABM,ABM Industries Incorporated Common Stock,2912559076.0,Consumer Discretionary,Diversified Commercial Services,United States
ABNB,Airbnb Inc. Class A Common Stock,89566362314.0,Consumer Discretionary,Diversified Commercial Services,United States
ABT,Abbott Laboratories Common Stock,179077367303.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
ACA,Arcosa Inc. Common Stock ,7194147519.0,Industrials,Metal Fabrications,United States
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,4381729323.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
ACGL,Arch Capital Group Ltd. Common Stock,32471363630.0,Finance,Property-Casualty Insurers,Bermuda
ACHC,Acadia Healthcare Company Inc. Common Stock,2654288840.0,Health Care,Medical Specialities,United States
ACHR,Archer Aviation Inc. Class A Common Stock,4444007767.0,Industrials,Aerospace,United States
ACI,Albertsons Companies Inc. Class A Common Stock,5678310491.0,Consumer Staples,Food Chains,United States
ACIW,ACI Worldwide Inc. Common Stock,4969016962.0,Technology,Computer Software: Prepackaged Software,United States
ACLS,Axcelis Technologies Inc. Common Stock,3657294742.0,Technology,Industrial Machinery/Components,United States
ACM,AECOM Common Stock,7908395316.0,Consumer Discretionary,Military/Government/Technical,United States
ACMR,ACM Research Inc. Class A Common Stock,5618600641.0,Technology,Industrial Machinery/Components,United States
ACN,Accenture plc Class A Ordinary Shares (Ireland),122501473739.0,Consumer Discretionary,Business Services,Ireland
ACT,Enact Holdings Inc. Common Stock,6564845290.0,Finance,Specialty Insurers,United States
AD,Array Digital Infrastructure Inc. Common Shares,3022310000.0,Telecommunications,Telecommunications Equipment,United States
ADBE,Adobe Inc. Common Stock,95674275000.0,Technology,Computer Software: Prepackaged Software,United States
ADC,Agree Realty Corporation Common Stock,8348339287.0,Real Estate,Real Estate Investment Trusts,United States
ADEA,Adeia Inc. Common Stock,2762517758.0,Telecommunications,Cable & Other Pay Television Services,United States
ADI,Analog Devices Inc. Common Stock,186669154082.0,Technology,Semiconductors,United States
ADM,Archer-Daniels-Midland Company Common Stock,39592979743.0,Consumer Staples,Packaged Foods,United States
ADMA,ADMA Biologics Inc Common Stock,2172651396.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
ADP,Automatic Data Processing Inc. Common Stock,104750238492.0,Technology,EDP Services,United States
